vpisna;ime;priimek;predmet;ocena
12602;Herman;Adams;Kemija;5
12602;Herman;Adams;Računalništvo;5
12602;Herman;Adams;Angleščina;5
12602;Herman;Adams;Matematika;5
12602;Herman;Adams;Računalništvo;5
12602;Herman;Adams;Kemija;8
12602;Herman;Adams;Slovenščina;7
12602;Herman;Adams;Matematika;8
18067;Fani;Fox;Matematika;8
18067;Fani;Fox;Angleščina;6
18067;Fani;Fox;Fizika;10
18067;Fani;Fox;Kemija;6
18067;Fani;Fox;Računalništvo;6

26833;Fani;Cox;Kemija;5
#26833;Fani;Cox;Kemija;10
26833;Fani;Cox;Angleščina;10
26833;Fani;Cox;Kemija;6
26833;Fani;Cox;Računalništvo;6
